,regiao,estado,cidade,drones
2584,Sudeste,RJ,Sumidouro,2
2585,Sul,PR,Arapuã,1
2586,Sudeste,SP,Analândia,1
2587,Nordeste,RN,Santa Cruz,4
2588,Sudeste,MG,São João do Paraíso,2
2589,Nordeste,BA,São Gonçalo dos Campos,1
2590,Sudeste,MG,Rio Manso,1
2591,Sudeste,MG,São Romão,1
2592,Sudeste,MG,Moema,1
2593,Nordeste,PB,Diamante,1
2594,Norte,PA,Nova Timboteua,1
2595,Nordeste,BA,Ibiajara,1
2596,Sudeste,SP,Alambari,1
2597,Centro-Oeste,GO,Santa Rita do Araguaia,1
2598,Sudeste,RJ,Banquete,1
2599,Sul,RS,Maquiné,1
2600,Nordeste,PI,Miguel Alves,2
2601,Sul,SC,Águas Frias,1
2602,Sul,SC,Águas Mornas,6
2603,Norte,AC,Marechal Thaumaturgo,1
2604,Sudeste,RJ,Comendador Levy Gasparian,2
2605,Sul,SC,Lebon Régis,1
2606,Sul,PR,Nova Santa Bárbara,2
